,WS,WD,TI,a1,a2,a3,a4,b1,b2,P_WF,P_T00,P_T01,P_T02,P_T03,P_T04,P_T05,P_T06,P_T07,P_T08,P_T09,P_T10,P_T11,P_T12,P_T13,P_T14,P_T15,P_T16,P_T17,P_T18,P_T19,P_T20,P_T21,P_T22,P_T23,P_T24,P_T25,P_T26,P_T27,P_T28,P_T29,P_T30,P_T31,P_T32,P_T33,P_T34,P_T35,P_T36,P_T37,P_T38,P_T39,P_T40,P_T41,P_T42,P_T43,P_T44,P_T45,P_T46,P_T47,P_T48,P_T49,P_T50,P_T51,P_T52,P_T53,P_T54,P_T55,P_T56,P_T57,P_T58,P_T59,P_T60,P_T61,P_T62,P_T63,P_T64,P_T65,P_T66,P_T67,P_T68,P_T69,P_T70,P_T71,P_T72,P_T73,P_T74,P_T75,P_T76,P_T77,P_T78,P_T79
10,8.0,270.0,0.07,0.38107893679618077,0.67519374677303956,-0.077408474075571582,0.12738595714478171,18.359588421547212,0.95409252436653269,12861234.900228195,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,310083.11203235615,310083.11203235615,310083.11203235615,310083.11203235615,310083.11203235615,310293.96087588748,310293.96087588748,310293.96087588748,180835.02954690802,180835.02954690802,180835.02954690802,180835.02954690802,180835.02954690802,180871.85253397649,180871.85253397649,180871.85253397649,120373.1051144818,120373.1051144818,120373.1051144818,120373.1051144818,120373.1051144818,120581.85605170613,120513.37882869616,120513.37882869616,84299.007928943,84299.007928943,84299.007928943,84433.370232551708,84433.370232551708,84370.653927058549,84342.084549441919,84342.084549441919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113978.96289148579,113978.96289148579,114057.0086528502,114008.0223510447,114008.0223510447,114073.00799460139,114061.88751848802,114061.88751848802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108798.13946013642,108798.13946013642,108825.0819373328,108806.52998318468,108874.78328511625,108825.90445186444,108889.01398922908,108889.01398922908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8.0,270.0,0.07,0.50485179610681519,0.84996717993430593,-0.12400616235382979,0.15619060321286504,16.758748932075466,1.0162354331658898,22667926.152451217,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,448274.15798651165,448274.15798651165,448274.15798651165,448274.15798651165,448274.15798651165,448443.83050080517,448443.83050080517,448443.83050080517,345508.5513663711,345508.5513663711,345508.5513663711,345508.5513663711,345508.5513663711,345550.5856265141,345550.5856265141,345550.5856265141,276954.31104591727,276954.31104591727,276954.31104591727,276954.31104591727,276954.31104591727,277162.1629934177,277127.35629245004,277127.35629245004,238671.56909662299,238671.56909662299,238671.56909662299,238837.79852668487,238837.79852668487,238744.50645303557,238728.74840535177,238728.74840535177,208177.63216877132,208177.63216877132,208177.63216877132,208236.04444872594,208236.04444872594,208211.62112500475,208202.44234870677,208369.36905352684,182962.07790066148,182962.07790066148,183128.3855355889,182989.95000227613,182989.95000227613,183145.8060486748,183139.82230004511,183034.86805573426,161549.61740142846,161549.61740142846,161612.77873515713,161564.53923402738,161729.52059547754,161621.82048826525,161617.65503532047,161749.99454922273,146489.90513407261,146489.90513407261,146512.05197197298,146495.59320415079,146539.46859001889,146515.02181416261,146624.46855290036,146546.35241974925,135387.19881207333,135497.47675089777,135399.89367171482,135500.58831591945,135413.16862255655,135511.20391461087,135443.13015779178,135526.63588886769
12,8.0,270.0,0.07,0.36573535512396804,0.79154666342352653,-0.147749025808219,0.16496076038365087,12.471026561293314,1.0458927578979951,11639748.70672705,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,271659.87997327297,271659.87997327297,271659.87997327297,271659.87997327297,271659.87997327297,271805.18876701908,271805.18876701908,271805.18876701908,141028.11829840112,141028.11829840112,141028.11829840112,141028.11829840112,141028.11829840112,141053.89126073616,141053.89126073616,141053.89126073616,84234.875709003099,84234.875709003099,84234.875709003099,84234.875709003099,84234.875709003099,84459.692051663878,84371.186197380448,84371.186197380448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103100.27947295971,103100.27947295971,103100.27947295971,103180.40701832183,103180.40701832183,103150.0097072708,103123.05767422727,103203.15972274716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90743.599673116958,90743.599673116958,90814.31444599785,90769.387344748597,90840.08847251843,90825.902929749835,90814.712235661718,90840.481962540915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74928.446818162425,74995.563793895009,74953.477251590244,75005.2934262825,74963.207757555443,75019.995659088221,75014.849216427174,75024.575256573531
13,8.0,270.0,0.07,0.43867816307066576,0.84744806319145427,-0.16566572263830809,0.14189176327835459,20.241314649152955,0.95726996945394238,18891018.462923303,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,406076.1344965297,406076.1344965297,406076.1344965297,406076.1344965297,406076.1344965297,406268.08386503276,406268.08386503276,406268.08386503276,282822.74757355364,282822.74757355364,282822.74757355364,282822.74757355364,282822.74757355364,282868.73852320987,282868.73852320987,282868.73852320987,223351.99387430883,223351.99387430883,223351.99387430883,223351.99387430883,223351.99387430883,223594.07886146777,223543.19569538074,223543.19569538074,179724.78582160181,179724.78582160181,179724.78582160181,179908.33158464101,179908.33158464101,179808.01203242937,179785.68085474422,179785.68085474422,148275.74586976654,148275.74586976654,148275.74586976654,148319.00112977839,148319.00112977839,148300.7189006829,148292.19357916646,148417.09486645734,129353.11756412998,129353.11756412998,129476.72284963871,129372.47354881835,129372.47354881835,129488.27456399184,129482.98690829563,129403.92267211563,113595.67528571047,113595.67528571047,113641.34053916961,113605.13976303521,113727.02491405365,113646.34414347159,113642.84337052016,113739.83180723217,100168.61902470954,100168.61902470954,100190.74700228605,100173.22802623012,100219.48316704179,100192.23924614201,100309.82407461922,100224.6303676125,88519.765147701604,88637.874151874261,88531.6648069855,88639.847550536855,88544.812957948569,88649.261685420322,88575.963467882801,88664.303345495035
14,8.0,270.0,0.07,0.2997716894067648,0.70440587187522741,-0.11008144510809809,0.103479449694246,15.371003548168478,1.0284933711149773,9121647.243545033,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,207292.35197278706,207292.35197278706,207292.35197278706,207292.35197278706,207292.35197278706,207392.20345961303,207392.20345961303,207392.20345961303,70503.135855830667,70503.135855830667,70503.135855830667,70503.135855830667,70503.135855830667,70528.284987253646,70528.284987253646,70528.284987253646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84904.986446346564,84904.986446346564,84904.986446346564,84960.6056615657,84960.6056615657,85051.796079106425,84960.039114365703,85015.628961095572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88354.864739903525,88394.113543067811,88394.113543067811,88407.260029439349,88407.260029439349,88471.678585283211,88441.308431072219,88454.448526152366
15,8.0,270.0,0.07,0.37119976642394936,0.68056494126291245,-0.11183185606255071,0.18411010770907577,11.279134095843805,0.93495770216336305,10116192.868288038,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,235547.87313643328,235547.87313643328,235547.87313643328,235547.87313643328,235547.87313643328,235673.65313542599,235673.65313542599,235673.65313542599,102649.92107990588,102649.92107990588,102649.92107990588,102649.92107990588,102649.92107990588,102676.09752938664,102676.09752938664,102676.09752938664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93176.289677303546,93176.289677303546,93176.289677303546,93254.157176253575,93254.157176253575,93340.056572720641,93255.134166468197,93255.134166468197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67454.152990024551,67454.152990024551,67524.663362727806,67478.047392292516,67478.047392292516,67577.955511731911,67544.517995756789,67544.517995756789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76479.48380436466,76530.450777598715,76498.408234850227,76535.683462239875,76535.683462239875,76562.428435911206,76549.177222821105,76600.109074016276
16,8.0,270.0,0.07,0.45467646390599903,0.6697297235180143,-0.12262544925516358,0.12391413717152848,11.747780100110147,1.0205662227414574,12499225.454801235,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,302057.38857476576,302057.38857476576,302057.38857476576,302057.38857476576,302057.38857476576,302267.4793755266,302267.4793755266,302267.4793755266,172278.82769143581,172278.82769143581,172278.82769143581,172278.82769143581,172278.82769143581,172315.85732702308,172315.85732702308,172315.85732702308,113612.21980128642,113612.21980128642,113612.21980128642,113612.21980128642,113612.21980128642,113824.13443586082,113752.15785469454,113752.15785469454,77068.962319596292,77068.962319596292,77068.962319596292,77202.964054375494,77202.964054375494,77142.202897101044,77112.161714852642,77112.161714852642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106668.65283541789,106668.65283541789,106747.34469500955,106697.94480528147,106697.94480528147,106763.63493534431,106752.03010633501,106752.03010633501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101429.2828640807,101429.2828640807,101456.44295188267,101437.65547429884,101506.46409703608,101457.14293062281,101520.65484647291,101520.65484647291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8.0,270.0,0.07,0.33795656117790174,0.73311248880609148,-0.12049969262183699,0.15436263341253081,14.710690295825193,1.0175151715234085,10789841.089905115,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,254039.37122833484,254039.37122833484,254039.37122833484,254039.37122833484,254039.37122833484,254176.91524159431,254176.91524159431,254176.91524159431,122574.08787371157,122574.08787371157,122574.08787371157,122574.08787371157,122574.08787371157,122600.17569303128,122600.17569303128,122600.17569303128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118325.74336669521,118325.74336669521,118325.74336669521,118404.11257041004,118404.11257041004,118475.39448566077,118404.62284378549,118404.62284378549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93836.861080112911,93836.861080112911,93907.812695430708,93860.447530863225,93860.447530863225,93955.217358381415,93927.242525967056,93927.242525967056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70750.358268798533,70750.358268798533,70774.40100174339,70758.141439730578,70826.100893676936,70790.704439395646,70845.286359923572,70845.286359923572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8.0,270.0,0.07,0.40890054649305091,0.79138747988381253,-0.12487013088380944,0.18068866364752401,13.67400721337407,1.0154748455093709,14027250.707767487,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,336675.00037309417,336675.00037309417,336675.00037309417,336675.00037309417,336675.00037309417,336885.58550373977,336885.58550373977,336885.58550373977,209060.38086676371,209060.38086676371,209060.38086676371,209060.38086676371,209060.38086676371,209096.42956896438,209096.42956896438,209096.42956896438,142696.0417767691,142696.0417767691,142696.0417767691,142696.0417767691,142696.0417767691,142893.87285988656,142836.14752290506,142836.14752290506,108155.27134596993,108155.27134596993,108155.27134596993,108289.56195563797,108289.56195563797,108222.01528874019,108197.87307620741,108197.87307620741,82204.293600987279,82204.293600987279,82204.293600987279,82249.941160607908,82249.941160607908,82230.418778605279,82218.045833670243,82350.50760403747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116725.96442807744,116725.96442807744,116801.48637775208,116737.54962064642,116813.0617010819,116805.7506637833,116800.05111829082,116830.49792271524,68567.345592810016,68567.345592810016,68603.518865497783,68571.974712076539,68608.143629135768,68603.040526115437,68711.392168867096,68614.200664794625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8.0,270.0,0.07,0.3255777321381399,0.99692167619990379,-0.11000010146138658,0.10151930924392989,20.37142633375371,0.98315370726522899,14084438.18340772,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,337621.30188530701,337621.30188530701,337621.30188530701,337621.30188530701,337621.30188530701,337831.80212506634,337831.80212506634,337831.80212506634,209931.13171379262,209931.13171379262,209931.13171379262,209931.13171379262,209931.13171379262,209967.21902350738,209967.21902350738,209967.21902350738,143389.06535156973,143389.06535156973,143389.06535156973,143389.06535156973,143389.06535156973,143586.55479249364,143529.14260064688,143529.14260064688,108995.76384617759,108995.76384617759,108995.76384617759,109130.0141090417,109130.0141090417,109061.27549553827,109037.57928867778,109037.57928867778,83313.222325176073,83313.222325176073,83313.222325176073,83358.20023188433,83358.20023188433,83338.271103192237,83326.279845049517,83458.689416233785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118030.70340967037,118030.70340967037,118106.02484953561,118041.74507204629,118117.05675656188,118109.53053111723,118104.10711260232,118134.01863987249,69953.607219329002,69953.607219329002,69989.315687734197,69957.819016966663,69993.523221918309,69988.291231065159,70096.824449000735,69999.188937981758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
