mean,mean,mean
8.535,210.4,1098
8.96,229.3,1279.2
8.917,229.3,1274.3
8.549,229.7,1109.6
8.516,232.9,1082.3
8.749,239.2,1201.9
8.656,234.9,1136.9
8.503,236.6,1075.9
8.762,246.7,1182.6
8.52,236.7,1155.4
8.532,230.4,1138.6
8.813,222.1,1208.6
8.541,221.4,961.78
9.096,207.8,1412.5
9.207,207.6,1418.6
8.555,202.2,1104.7
8.526,201.8,1134.5
9.142,204.2,1417
8.723,206.6,1060.4
8.912,195.6,1183.8
9.341,199.4,1406.2
9.294,202.2,1621.4
9.285,200.5,1467.2
8.752,198.2,1244.5
9.172,196.7,1403.5
8.848,200.5,1202.7
9.275,203.7,1551.7
8.963,204.6,1419.3
9.066,198.3,1303.5
8.758,198,1190
8.521,183.3,1104.5
9.145,182.3,1450.1
9.334,179.3,1427.8
9.074,165.3,1295
9.282,163.3,1364.4
9.453,165.1,1976.2
9.405,226.9,1534.4
9.225,229.1,1441.1
9.249,320.5,1599.9
9.361,320.5,1502.6
9.391,320.5,771.15
8.571,320.5,1041.3
8.771,234.2,1206.8
8.649,229.4,1156.5
8.826,233.5,1265.1
8.84,236.2,1257.8
8.656,235.4,1134.4
8.631,237.1,1175.5
8.558,243.7,1119.4
8.732,244.4,1188.9
8.515,242.3,1074.9
8.965,219.2,1341.1
9.114,221.6,1420.7
9.268,222.1,1439
8.747,225.7,1235.2
9.024,224.5,1364.8
9.184,225.8,1444.4
8.694,225.8,1206
8.947,223.9,1325.5
9.119,225,1426.7
9.476,234.8,1581.8
8.924,236.2,1304
9.265,234.3,1471.5
9.424,238.1,1510.6
8.84,238.1,1242
8.802,252.6,1244.3
9.141,253.2,1402.1
8.801,255.5,1231.5
8.575,256.2,1128.5
8.68,268.7,1159.8
9.021,268.7,1328.3
8.954,267.8,1291.7
8.713,266.5,1155.8
8.586,262.9,1118.1
8.678,262.3,1140.7
8.575,260.5,1101
8.601,260.5,1119.6
8.56,298.3,215.33
8.545,353.2,591.68
8.928,353.6,715.27
9.328,351.5,1076.4
9.459,352,916.49
9.309,346.8,661.92
8.761,345.2,732.18
8.601,345.1,530.55
8.647,344.1,619.49
8.75,342.4,294.2
8.705,343.9,692.01
9.096,344.4,685
9.385,343.8,701.82
9.385,344.7,796.69
9.08,33.38,724.01
9.417,24.58,722.14
9.29,26.64,616.47
9.103,24.16,534.57
8.896,24.27,489.34
9.04,27.6,732.39
8.898,26.73,538.84
8.591,20.62,706.82
8.664,18.89,749.12
8.712,19.36,743.51
9.037,19.85,730.35
8.933,22.4,807.14
8.704,22.62,648.32
8.752,18.68,922.06
8.835,15.14,897.65
8.933,16.42,932.03
8.591,349.3,893.5
9.301,352.9,972.73
8.549,350.2,1009.1
8.755,351.2,781.6
8.904,351.2,901.95
9.262,348,451.24
9.47,354.6,849.8
9.473,349.2,854
9.418,11.74,1100.9
9.277,353.5,544.61
9.219,354.9,711.51
9.076,359,653.78
9.196,357.5,743.25
9.155,358.5,669.02
9.451,5.86,701.89
9.402,28.45,1061
8.951,26.53,880.69
8.587,22.67,703.29
8.826,247.6,1071
9.447,316.2,1276.2
9.406,312.8,947.39
9.082,314.2,1115.5
9.032,314.2,940.02
8.737,314.4,1408.7
8.747,315.3,1262.6
8.642,313.3,722.28
8.692,312.2,515.76
8.588,313.5,612.67
8.559,315.5,572.53
8.793,315.7,1086.9
9.204,311.1,963.74
9.447,308.1,305.88
8.606,308.9,210.02
8.701,300.1,362.69
9.118,303.4,517.5
9.232,298.1,656.62
9.367,303,594.93
9.218,300.7,599.69
9.433,301.1,590.64
8.816,299.8,539.93
8.574,301.3,270.77
8.663,301.8,348.97
9.285,300.3,366.46
9.265,304.6,335.01
9.333,301.3,429.21
9.113,299.3,483.75
9.163,297.1,460.43
9.069,297.1,277.74
9.18,296.5,331.07
9.169,296.4,241.95
9.457,296.7,235.41
9.28,297.8,249.79
9.343,297.6,590.22
9.061,295.6,298.91
9.145,295,214.41
9.372,297.9,458.76
8.74,299.9,299.04
8.857,298.8,182.79
8.523,300,117.85
8.992,288.3,510.32
9.417,290.8,391.7
